Comunidad;Provincia;Municipio;Población
Andalucía;Almería;Abla;1463
Andalucía;Almería;Abrucena;1367
Andalucía;Almería;Adra;24512
Andalucía;Almería;Albánchez;814
Andalucía;Almería;Alboloduy;667
Andalucía;Almería;Albox;11042
Andalucía;Almería;Alcolea;902
Andalucía;Almería;Alcóntar;598
Andalucía;Almería;Alcudia de Monteagud;144
Andalucía;Almería;Alhabia;718
Andalucía;Almería;Alhama de Almería;3824
Andalucía;Almería;Alicún;253
Andalucía;Almería;Almería;190013
Andalucía;Almería;Almócita;185
Andalucía;Almería;Alsodux;149
Andalucía;Almería;Antas;3389
Andalucía;Almería;Arboleas;4731
Andalucía;Almería;Armuña de Almanzora;339
Andalucía;Almería;Bacares;274
Andalucía;Almería;Bayárcal;358
Andalucía;Almería;Bayarque;233
Andalucía;Almería;Bédar;1039
Andalucía;Almería;Beires;121
Andalucía;Almería;Benahadux;4059
Andalucía;Almería;Benitagla;84
Andalucía;Almería;Benizalón;286
Andalucía;Almería;Bentarique;280
Andalucía;Almería;Berja;15325
Andalucía;Almería;Canjáyar;1490
Andalucía;Almería;Cantoria;4001
Andalucía;Almería;Carboneras;8123
Andalucía;Almería;Castro de Filabres;154
Andalucía;Almería;Cóbdar;165
Andalucía;Almería;Cuevas del Almanzora;12891
Andalucía;Almería;Chercos;287
Andalucía;Almería;Chirivel;1852
Andalucía;Almería;Dalías;3983
Andalucía;Almería;Enix;469
Andalucía;Almería;Felix;643
Andalucía;Almería;Fines;2434
Andalucía;Almería;Fiñana;2432
Andalucía;Almería;Fondón;989
Andalucía;Almería;Gádor;3225
Andalucía;Almería;Gallardos (Los);3828
Andalucía;Almería;Garrucha;8441
Andalucía;Almería;Gérgal;1099
Andalucía;Almería;Huécija;543
Andalucía;Almería;Huércal de Almería;15628
Andalucía;Almería;Huércal-Overa;18278
Andalucía;Almería;Illar;421
Andalucía;Almería;Instinción;485
Andalucía;Almería;Laroya;164
Andalucía;Almería;Láujar de Andarax;1799
Andalucía;Almería;Líjar;514
Andalucía;Almería;Lubrín;1764
Andalucía;Almería;Lucainena de las Torres;671
Andalucía;Almería;Lúcar;885
Andalucía;Almería;Macael;6120
Andalucía;Almería;María;1455
Andalucía;Almería;Mojácar;7745
Andalucía;Almería;Nacimiento;486
Andalucía;Almería;Níjar;28242
Andalucía;Almería;Ohanes;761
Andalucía;Almería;Olula de Castro;209
Andalucía;Almería;Olula del Río;6733
Andalucía;Almería;Oria;2888
Andalucía;Almería;Padules;502
Andalucía;Almería;Partaloa;898
Andalucía;Almería;Paterna del Río;449
Andalucía;Almería;Pechina;3720
Andalucía;Almería;Pulpí;8429
Andalucía;Almería;Purchena;1772
Andalucía;Almería;Rágol;356
Andalucía;Almería;Rioja;1361
Andalucía;Almería;Roquetas de Mar;85808
Andalucía;Almería;Santa Cruz de Marchena;240
